sample	B_cell	T_cell.CD4	T_cell.CD8	Neutrophil	Macrophage	DC
TCGA-BT-A20W-11A	0.051758034	0.164382869	0.404813757	0.185045349	0.076756045	0.694597227
TCGA-BT-A20W-01A	0.08881415	0.125486339	0.158636009	0.088417489	0.001140137	0.386583695
TCGA-BT-A20X-01A	0.076769556	0.090211086	0.237481012	0.095103207	0.03396648	0.480899698
TCGA-BT-A2LA-11A	0	0.049918456	0.278772881	0.146219384	0	0.420705868
TCGA-BT-A2LA-01A	0.07550275	0.120885741	0.136966088	0.058178059	0.020172724	0.328603204
TCGA-BT-A2LB-11A	0.082352801	0.100771952	0.23011599	0.120108907	0.052489761	0.380020125
TCGA-BT-A2LB-01A	0.052820503	0.132841867	0.179524777	0.156568006	0.174119722	0.388376318
TCGA-BT-A2LD-01A	0.106443839	0.105724817	0.138544855	0.097191477	0.099327091	0.372348443
TCGA-BT-A3PH-01A	0.040517835	0.087396656	0.113339777	0.0625482	0.059293132	0.429641878
TCGA-BT-A3PJ-01A	0.150185328	0.132700851	0.159392701	0.19115718	0.031466111	0.718201747
TCGA-BT-A3PK-01A	0.079690875	0.072650838	0.303644892	0.176512805	0.003292197	0.579444568
TCGA-BT-A42C-01A	0.08981286	0.072773437	0.13537588	0.082578012	0.045507721	0.330367942
TCGA-BT-A42E-01A	0.080716589	0.238426374	0.10904989	0.157556275	0	0.615069594
TCGA-BT-A42F-01A	0.029008042	0.093609685	0.217200449	0.156491947	0	0.606836327
TCGA-C4-A0EZ-01A	0.013423699	0.200498242	0.04251027	0.045120931	0.033790454	0.290205135
TCGA-C4-A0F0-01A	0.058059063	0.055014282	0.264978464	0.106648973	0.057458779	0.533635406
TCGA-C4-A0F1-01A	0.018547711	0.086427262	0.229164478	0.096235487	0.022005014	0.460753673
TCGA-C4-A0F6-01A	0.077428358	0.086892204	0.147191573	0.057597197	0.079171841	0.350721548
TCGA-C4-A0F7-01A	0.087453536	0.103556008	0.164954435	0.055483321	0.042327776	0.378637073
TCGA-CF-A1HR-01A	0.098534582	0.098100789	0.155035331	0.076119609	0.150785229	0.372296159
TCGA-CF-A1HS-01A	0.111318464	0.083529403	0.2685168	0.11129051	0.079249881	0.613922625
TCGA-CF-A27C-01A	0.093417221	0.073078149	0.127760209	0.057554128	0.028815851	0.305285745
TCGA-CF-A3MF-01A	0.039198718	0.062540786	0.049577764	0.039360874	0	0.187344974
TCGA-CF-A3MG-01A	0.112542383	0.069934405	0.144743143	0.06744918	0.092801607	0.296040724
TCGA-CF-A3MH-01A	0.094090464	0.108227546	0.090822569	0.068157446	0.010650094	0.319429257
TCGA-CF-A3MI-01A	0.051014763	0.088184568	0.077629589	0.052271172	0	0.267732064
TCGA-CF-A47S-01A	0.084859822	0.124960137	0.099140268	0.094069786	0	0.377943654
TCGA-CF-A47T-01A	0.074748897	0.103350127	0.092722354	0.046455775	0	0.289459061
TCGA-CF-A47V-01A	0.068172662	0.122049942	0.130211538	0.087889513	0	0.327304875
TCGA-CF-A47W-01A	0.084686588	0.113437619	0.050523695	0.056920049	0	0.299347122
TCGA-CF-A47X-01A	0.101184058	0.072259881	0.08212068	0.071108968	0	0.270370432
TCGA-CF-A47Y-01A	0.05011216	0.118751163	0.071421292	0.046862461	0	0.29583665
TCGA-CF-A5U8-01A	0.072974609	0.118158119	0.073802911	0.059223765	0	0.317518153
TCGA-CF-A5UA-01A	0.056626864	0.095808698	0.089446998	0.064283414	0	0.310692731
TCGA-CF-A7I0-01A	0.046808082	0.106465998	0.116202839	0.065218991	0.019563208	0.311239531
TCGA-CF-A8HX-01A	0.037320739	0.102289417	0.056263142	0.047367793	0	0.265102496
TCGA-CF-A8HY-01A	0.056868677	0.069438812	0.154750575	0.064011047	0	0.289280469
TCGA-CF-A9FF-01A	0.058080773	0.138911708	0.133159567	0.050771003	0	0.311419317
TCGA-CF-A9FH-01A	0.064390052	0.111215862	0.051516835	0.142830421	0	0.260845579
TCGA-CF-A9FL-01A	0.083755093	0.108229884	0.103412393	0.053816688	0.039219198	0.343922001
TCGA-CF-A9FM-01A	0.085114684	0.150398105	0.080169714	0.101280514	0.001357571	0.440541348
TCGA-CU-A0YN-11A	0.006239492	0.129229593	0.237191251	0.131301453	0.0075162	0.765305708
TCGA-CU-A0YN-01A	0.018187875	0.171062457	0.178573502	0.141870235	0.012683009	0.561614264
TCGA-CU-A0YO-01A	0.078704422	0.132213626	0.189378314	0.135892903	0.063577683	0.420565764
TCGA-CU-A0YR-11A	0.080331195	0.154236966	0.325210755	0.158774983	0.000297953	0.727917952
TCGA-CU-A0YR-01A	0.099987392	0.016023666	0.212739234	0.142703636	0.104553798	0.523734872
TCGA-CU-A3KJ-01A	0.053942368	0.199454223	0.173944423	0.094424755	0	0.55002575
TCGA-CU-A3QU-01A	0.105116968	0.051146465	0.135929156	0.079390145	0.013834782	0.385176575
TCGA-CU-A3YL-01A	0.11007598	0.138943685	0.062905082	0.073350896	0.012747081	0.321272058
TCGA-CU-A5W6-01A	0.060143385	0.073628477	0.1181088	0.09470013	0.06211731	0.322626522
TCGA-CU-A72E-01A	0.041745519	0.104043779	0.118107447	0.076765222	0.089570673	0.369417047
TCGA-DK-A1A3-01A	0.110656353	0.066007519	0.198339323	0.111745636	0.192146316	0.428890342
TCGA-DK-A1A5-01A	0	0.11818975	0.26295574	0.10191169	0.138724203	0.531040011
TCGA-DK-A1A6-01A	0.009538655	0.086289803	0.207705117	0.162257178	0.022398208	0.423464398
TCGA-DK-A1A7-01A	0.068368457	0.06317923	0.104936232	0.052339845	0	0.231103014
TCGA-DK-A1AA-01A	0.0747485	0.111736265	0.149141507	0.079299236	0.052655162	0.390494966
TCGA-DK-A1AB-01A	0.084150783	0.169953974	0.143519689	0.191441472	0.066296671	0.61057121
TCGA-DK-A1AC-01A	0.05566361	0.053192718	0.307212414	0.171027838	0.005155831	0.460643375
TCGA-DK-A1AD-01A	0.042309824	0.064752753	0.13540206	0.055927774	0.090890573	0.283150782
TCGA-DK-A1AE-01A	0.100996554	0.093809234	0.175979571	0.071319948	0	0.330344508
TCGA-DK-A1AF-01A	0.076002838	0.172911909	0.377102133	0.22038535	0.245247495	0.614733225
TCGA-DK-A1AG-01A	0.05967019	0.138283961	0.119256152	0.08493532	0	0.384251796
TCGA-DK-A2HX-01A	0.025914517	0.106748499	0.21752452	0.117047207	0.152257786	0.529454994
TCGA-DK-A2I1-01A	0.098033598	0.097346371	0.104290515	0.085729624	0.123031857	0.381052696
TCGA-DK-A2I2-01A	0	0.200198907	0.309946246	0.18512472	0	0.918979813
TCGA-DK-A2I4-01A	0	0.297783052	0.372440811	0.412672701	0.226153948	1.265148351
TCGA-DK-A2I6-01A	0.073419672	0.083971729	0.150477174	0.075640586	0	0.420075215
TCGA-DK-A3IK-01A	0.058798	0.102969374	0.077844167	0.061041804	0.010325134	0.292165823
TCGA-DK-A3IL-01A	0.043807687	0.11382269	0.103077846	0.064257067	0.08744053	0.309792254
TCGA-DK-A3IM-01A	0.050396849	0.103917846	0.171859618	0.064420856	0	0.46753436
